url,samplevid,title,mainimgurl,mainimgs,details,duration,director,productioncomp,girls,catogories,imgurls,imgs,,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03344,----,Exhibitionist Girl IV,https://pics.r18.com/digital/video/xg03344/xg03344ps.jpg,xg03344ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Older Sister', 'BDSM', 'Variety', 'Outdoor', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03345,----,Love Hotel,https://pics.r18.com/digital/video/xg03345/xg03345ps.jpg,xg03345ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03346,----,Video Virgins Gold Special,https://pics.r18.com/digital/video/xg03346/xg03346ps.jpg,xg03346ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Caucasian Actress', 'Variety', 'Amateur', 'Nymphomaniac']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03347,----,Panty Shot Girls Part 2 4,https://pics.r18.com/digital/video/xg03347/xg03347ps.jpg,xg03347ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03348,----,LOVE STYLING,https://pics.r18.com/digital/video/xg03348/xg03348ps.jpg,xg03348ps.jpg,"Sept. 25, 2018",77,----,MAX-A Legend,['----'],"['BDSM', 'Variety', 'Amateur', 'Cosplay']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03349,----,Shes a Filthy Pervert 13,https://pics.r18.com/digital/video/xg03349/xg03349ps.jpg,xg03349ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Slut', 'Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03350,----,A Naked Seasonal Monument,https://pics.r18.com/digital/video/xg03350/xg03350ps.jpg,xg03350ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Variety', 'Documentary', 'Amateur', 'Idol & Celebrity']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03351,----,Video Virgin Special vol. 33,https://pics.r18.com/digital/video/xg03351/xg03351ps.jpg,xg03351ps.jpg,"Sept. 25, 2018",118,----,MAX-A Legend,['----'],"['Variety', 'Amateur', 'Cosplay', 'Vibrator']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03352,----,Street Models 2 9,https://pics.r18.com/digital/video/xg03352/xg03352ps.jpg,xg03352ps.jpg,"Sept. 25, 2018",76,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03353,----,Do You Like A Sexy Elder Sister...? 3,https://pics.r18.com/digital/video/xg03353/xg03353ps.jpg,xg03353ps.jpg,"Sept. 25, 2018",78,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03354,----,Bambina,https://pics.r18.com/digital/video/xg03354/xg03354ps.jpg,xg03354ps.jpg,"Sept. 25, 2018",69,----,MAX-A Legend,['----'],"['Ropes & Ties', 'Gym Clothes', 'Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03355,----,The Moisture Level Of An Office Lady,https://pics.r18.com/digital/video/xg03355/xg03355ps.jpg,xg03355ps.jpg,"Sept. 25, 2018",79,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03356,----,Sexual Taste Test vol. 24,https://pics.r18.com/digital/video/xg03356/xg03356ps.jpg,xg03356ps.jpg,"Sept. 25, 2018",118,----,MAX-A Legend,['----'],"['Beautiful Tits', 'Big Tits', 'Variety', 'Amateur', 'Squirting']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03357,----,Shes A Filthy Pervert Blonde Special,https://pics.r18.com/digital/video/xg03357/xg03357ps.jpg,xg03357ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Slut', 'Other Fetishes']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03358,----,Exhibitionist Girl V,https://pics.r18.com/digital/video/xg03358/xg03358ps.jpg,xg03358ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Relatives', 'Variety', 'Outdoor', 'Amateur', 'Nymphomaniac']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03359,----,My Beloved Waitress,https://pics.r18.com/digital/video/xg03359/xg03359ps.jpg,xg03359ps.jpg,"Sept. 25, 2018",78,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03360,----,Please Show Us How You Have Sex!! 5,https://pics.r18.com/digital/video/xg03360/xg03360ps.jpg,xg03360ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03361,----,Video Virgin Special vol. 34,https://pics.r18.com/digital/video/xg03361/xg03361ps.jpg,xg03361ps.jpg,"Sept. 25, 2018",119,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03362,----,Shes a Filthy Pervert 14,https://pics.r18.com/digital/video/xg03362/xg03362ps.jpg,xg03362ps.jpg,"Sept. 25, 2018",78,----,MAX-A Legend,['----'],"['Schoolgirl', 'Slut', 'Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03364,----,Big Sister Gal,https://pics.r18.com/digital/video/xg03364/xg03364ps.jpg,xg03364ps.jpg,"Sept. 25, 2018",79,----,MAX-A Legend,['----'],"['Slut', 'Relatives', 'Variety', 'Amateur', 'Gonzo']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03365,----,A Naked Seasonal Monument 2,https://pics.r18.com/digital/video/xg03365/xg03365ps.jpg,xg03365ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Variety', 'Documentary', 'Amateur', 'Idol & Celebrity']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03366,----,The Moisture Level Of A Nurse,https://pics.r18.com/digital/video/xg03366/xg03366ps.jpg,xg03366ps.jpg,"Sept. 25, 2018",117,----,MAX-A Legend,['----'],"['Nurse', 'Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03367,----,Sexual Taste Test vol. 25,https://pics.r18.com/digital/video/xg03367/xg03367ps.jpg,xg03367ps.jpg,"Sept. 25, 2018",118,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03368,----,Exhibitionist Girl VI,https://pics.r18.com/digital/video/xg03368/xg03368ps.jpg,xg03368ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Older Sister', 'Variety', 'Outdoor', 'Amateur', 'Bondage']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03369,----,Let's Go To The Audition,https://pics.r18.com/digital/video/xg03369/xg03369ps.jpg,xg03369ps.jpg,"Sept. 25, 2018",79,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03370,----,Street Models 2 10,https://pics.r18.com/digital/video/xg03370/xg03370ps.jpg,xg03370ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03371,----,Do You Like A Sexy Elder Sister...? 4,https://pics.r18.com/digital/video/xg03371/xg03371ps.jpg,xg03371ps.jpg,"Sept. 25, 2018",77,----,MAX-A Legend,['----'],"['Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03372,----,A Begging Elder Sister,https://pics.r18.com/digital/video/xg03372/xg03372ps.jpg,xg03372ps.jpg,"Sept. 25, 2018",79,----,MAX-A Legend,['----'],"['Older Sister', 'Big Tits', 'Variety', 'Amateur']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03374,----,SEXY LOVERS,https://pics.r18.com/digital/video/xg03374/xg03374ps.jpg,xg03374ps.jpg,"Sept. 25, 2018",88,----,MAX-A Legend,['----'],"['Office Lady', 'Slut', 'Variety', 'Amateur', 'Nymphomaniac']",[],[],,,,,,
http://www.r18.com/videos/vod/movies/detail/-/id=xg03375,----,The Moisture Level Of An Apartment Wife,https://pics.r18.com/digital/video/xg03375/xg03375ps.jpg,xg03375ps.jpg,"Sept. 25, 2018",87,----,MAX-A Legend,['----'],"['Mature Woman', 'Married Woman']",[],[],,,,,,
